emb_size,hidden_size,rnn_layers,appearance_threshold,size_threshold,batch_size,lr,best_val_acc,epoch_of_best,time_s,status,best_path
128,128,1,3,25,64,0.001,0.8737607402511567,6.0,542.7964453697205,ok,best_elman_rnn_trial_13.pt
128,128,2,1,20,64,0.001,0.873217115689382,11.0,477.8437750339508,ok,best_elman_rnn_trial_17.pt
128,128,3,3,25,128,0.001,0.8724388631857237,7.0,579.8454942703247,ok,best_elman_rnn_trial_47.pt
128,128,3,1,25,128,0.001,0.8724388631857237,12.0,467.7992868423462,ok,best_elman_rnn_trial_39.pt
128,128,2,3,20,64,0.001,0.8724247226624405,5.0,309.3214032649994,ok,best_elman_rnn_trial_25.pt
128,128,1,1,20,128,0.001,0.8724247226624405,9.0,378.7788326740265,ok,best_elman_rnn_trial_3.pt
128,128,2,1,25,128,0.0005,0.8717779246530073,10.0,445.6331510543823,ok,best_elman_rnn_trial_24.pt
128,128,3,3,20,64,0.001,0.8716323296354992,3.0,406.7229034900665,ok,best_elman_rnn_trial_41.pt
128,128,2,1,25,64,0.001,0.8704560475875743,6.0,485.69896388053894,ok,best_elman_rnn_trial_21.pt
128,128,3,1,25,64,0.001,0.8684732319894249,6.0,610.8939120769501,ok,best_elman_rnn_trial_37.pt
128,128,2,1,25,128,0.001,0.8678122934567085,9.0,411.3885111808777,ok,best_elman_rnn_trial_23.pt
128,128,3,1,20,128,0.001,0.8676703645007924,6.0,247.40265941619873,ok,best_elman_rnn_trial_35.pt
128,256,1,3,25,64,0.001,0.8664904163912757,4.0,432.0772211551666,ok,best_elman_rnn_trial_61.pt
128,256,1,1,20,64,0.001,0.8660855784469097,5.0,351.2777769565582,ok,best_elman_rnn_trial_49.pt
128,256,1,3,20,64,0.001,0.8645007923930269,5.0,324.55594182014465,ok,best_elman_rnn_trial_57.pt
128,256,1,1,25,128,0.001,0.8631857237276933,6.0,418.42137598991394,ok,best_elman_rnn_trial_55.pt
128,128,3,1,20,128,0.0005,0.8621236133122029,6.0,262.79513239860535,ok,best_elman_rnn_trial_36.pt
128,128,1,1,25,64,0.001,0.8578982154659617,10.0,802.2300801277161,ok,best_elman_rnn_trial_5.pt
128,256,1,1,25,64,0.001,0.8512888301387971,8.0,670.5793325901031,ok,best_elman_rnn_trial_53.pt
128,256,2,1,20,64,0.001,,,4.232684373855591,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,20,64,0.0005,,,4.3800060749053955,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,20,128,0.001,,,3.9299674034118652,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,20,128,0.0005,,,4.126853942871094,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,25,64,0.001,,,7.491594076156616,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,25,64,0.0005,,,7.754172325134277,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,25,128,0.001,,,7.8206787109375,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,1,25,128,0.0005,,,7.680957078933716,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,20,64,0.001,,,2.95023512840271,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,20,64,0.0005,,,3.20646595954895,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,20,128,0.001,,,2.713325262069702,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,20,128,0.0005,,,2.7607905864715576,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 40; expected version 39 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,25,64,0.001,,,4.302086353302002,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,25,64,0.0005,,,4.491699934005737,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,25,128,0.001,,,4.546159982681274,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,2,3,25,128,0.0005,,,4.838862895965576,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 50; expected version 49 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,20,64,0.001,,,3.874767541885376,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,20,64,0.0005,,,4.048825263977051,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,20,128,0.001,,,4.380690097808838,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,20,128,0.0005,,,4.141270160675049,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,25,64,0.001,,,7.679758310317993,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,25,64,0.0005,,,7.747824668884277,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,25,128,0.001,,,7.78672456741333,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,1,25,128,0.0005,,,8.163130521774292,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,20,64,0.001,,,3.0752294063568115,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,20,64,0.0005,,,2.7605066299438477,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,20,128,0.001,,,2.8232266902923584,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,20,128,0.0005,,,3.1713435649871826,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 60; expected version 59 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,25,64,0.001,,,4.4146692752838135,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,25,64,0.0005,,,4.649184226989746,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [64, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,25,128,0.001,,,4.814734220504761,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
128,256,3,3,25,128,0.0005,,,4.764921426773071,"error: one of the variables needed for gradient computation has been modified by an inplace operation: [torch.cuda.FloatTensor [128, 256]], which is output 0 of AsStridedBackward0, is at version 75; expected version 74 instead. Hint: enable anomaly detection to find the operation that failed to compute its gradient, with torch.autograd.set_detect_anomaly(True).",
